cre88_RECID,cre88_TAXITEMGROUP,cre88_TAXGROUP,cre88_CONFIRMEDTAXWRITECODE,cre88_CURRENCYCODE,cre88_ITEMREFTYPE,cre88_NAME,cre88_TRANSACTIONCODE,cre88_VENDACCOUNT,cre88_DATAAREAID,cre88_ORDERACCOUNT,cre88_DELIVERYNAME,cre88_PAYMENT,cre88_PAYMMODE,cre88_PRICEGROUPID,cre88_PURCHASETYPE,cre88_PURCHNAME,cre88_PURCHSTATUS,cre88_VATNUM,cre88_VENDGROUP,cre88_COUNTRYREGIONID,cre88_ZIPCODE,cre88_STREET,cre88_CITY,cre88_STATE,cre88_COUNTY,cre88_PRODUCTTYPE,cre88_ITEMGROUPID
5984,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5985,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5986,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5987,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5988,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5989,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5990,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5991,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5992,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5993,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5994,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5995,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5996,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
5997,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
5998,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,HEMPEL,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
5999,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6000,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6001,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,HEMPEL,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6002,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6003,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6004,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6005,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6006,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6007,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6008,Goods,P-EU-RC,BTW,EUR,0,Hempel's Speed-Dry Alkyd,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6009,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6010,Goods,P-EU-RC,TVA,EUR,0,Hempel's Speed-Dry Alkyd,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6011,Goods,P-NL,,EUR,1,Hempel's Speed-Dry Alkyd,11,93020,fi11,93020,"M/V Estraden, IMO: 9181077",CM+25,Clearing,Area 3,3,HEMPEL (THE NETHERLANDS) B.V. - II,1,NL001839561B01,INTERNAL,BEL,8380,c/o P&O North Sea Ferries Leopold II Dam 13 - Berth 207 tel +32 50 54 22 66,Zeebrugge,,,1,FG-MT
6012,Goods,P-EU-RC,TVA,EUR,0,Hempacore One,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6013,Goods,P-EU-RC,TVA,EUR,0,Hempacore One,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6014,Goods,P-EU-RC,TVA,EUR,0,Hempacore One,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6015,Goods,P-EU-RC,TVA,EUR,0,Hempacore One,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
6016,Goods,SE25,,EUR,1,Hempacore One,11,93001,fi11,93001,ASV6 Bio,CM+25,Clearing,,3,HEMPEL A/S - II,3,DK 59946013,INTERNAL,NULL,NULL,NULL,NULL,NULL,NULL,1,FG
6017,Goods,P-EU-RC,BTW,EUR,0,Hempacore One,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6018,Goods,P-EU-RC,BTW,EUR,0,Hempacore One,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6019,Goods,P-EU-RC,BTW,EUR,0,Hempacore One,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6020,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6021,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,2,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6022,Goods,P-EU-RC,,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6023,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6024,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91012,nl20,91012,Hempel (The Netherlands) B.V.,CM+25,Clearing,,3,HEMPEL (FRANCE) S.A. - EX - GATE,3,FR00562055244,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6025,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6026,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6027,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6028,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6029,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6030,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6031,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6032,Goods,P-EU-RC,,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6033,Goods,P-EU-RC,,EUR,0,Hempacore One FD,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6034,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6035,Goods,P-EU-RC,,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6036,Goods,P-EU-II,,EUR,0,Hempacore One FD,11,90018,hr89,90018,HEMPEL UMAG,CM+25,Clearing,,3,HEMPEL (ITALY) s.r.l.,3,IT 00246440101,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6037,Goods,P-EU-RC,,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6038,Goods,P-EU-RC,PDV,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6039,Goods,P-EU-RC,PDV,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6040,Goods,P-EU-RC,,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6041,Goods,P-EU-RC,,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6042,Goods,P-EU-RC,PDV,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6043,Goods,P-EU-RC,,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6044,Goods,P-EU-RC,,EUR,0,Hempacore One FD,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6045,Goods,4,ALV,EUR,0,Hempacore One FD,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
6046,Goods,4,ALV,EUR,0,Hempacore One FD,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS POLAND SP. Z O.O. - EX - GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
6047,Goods,P-EU-RC,,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6048,Goods,P-EU-RC,BTW,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6049,Goods,P-EU-RC,,EUR,0,Hempacore One FD,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
6050,Goods,P-EU-RC,BTW,EUR,1,Hempacore One FD,Verkoop,92004,nl20,92004,Van Merksteijn Staalcoating B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - DIRECT DEL,3,PL7010150377,INTERNAL,NLD,8102 HJ,Heesweg 34a,Raalte,,,1,FG
6051,Goods,P-EU-RC,BTW,EUR,1,Hempacore One FD,Verkoop,92004,nl20,92004,Van Merksteijn Staalcoating B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - DIRECT DEL,3,PL7010150377,INTERNAL,NLD,8102 HJ,Heesweg 34a,Raalte,,,1,FG
6052,Goods,P-EU-RC,BTW,EUR,1,Hempacore One FD,Verkoop,92004,nl20,92004,ASIB SPRL,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - DIRECT DEL,3,PL7010150377,INTERNAL,BEL,2060,Bredastraat 112,Antwerpen,,,1,FG
6053,Goods,VAT-FOR-20,BTW,EUR,1,Hempacore One FD,Verkoop,92015,nl20,92015,Rotherdale - Evesham Vale Growers,CM+25,Clearing,P1 Europe,3,HEMPEL (UK) Ltd. - DIRECT DEL,3,GB239113281,INTERNAL,GBR,WR10 2JH,Greenhouse Long lane  Rob Kok +31653503083 R. v.d. Horst +31653753329 ,Pershore,,,1,FG
6054,Goods,P-EU-RC,,EUR,0,Hempacore One Fd,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6055,Goods,P-EU-RC,,EUR,0,Hempacore One Fd,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6056,Goods,P-EU-RC,,EUR,0,Hempacore One Fd,11,91023,hr89,91023,HEMPEL UMAG,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ES A08183881,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG
6057,Goods,P-II,,EUR,1,Hempadur,11,93023,fr12,93023,M/V GUERIDEN IMO 8912998,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,1,ESA08183881,INTERNAL,ESP,36216,EXENTO DE IVA  Nº DE AUTORIZACION: ESEIRO2019000140 METALSHIPS RIOS TEIS,Vigo,,,1,FG
6058,Goods,P-II,,EUR,1,Hempadur,11,93023,fr12,93023,M/V GUERIDEN IMO 8912998,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,1,ESA08183881,INTERNAL,ESP,36216,EXENTO DE IVA  Nº DE AUTORIZACION: ESEIRO2019000140 METALSHIPS RIOS TEIS,Vigo,,,1,FG
6059,Goods,P-NEU-0,,USD,1,Hempadur,Verkoop,93055,nl20,93055,M/V STAR CLIPPER,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,1,No VAT Number,INTERNAL,SGP,,SINGAPORE,,,,1,FG
6060,Goods,P-NEU-0,,USD,1,Hempadur,Verkoop,93055,nl20,93055,M/V STAR CLIPPER,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,1,No VAT Number,INTERNAL,SGP,,SINGAPORE,,,,1,FG
6061,Goods,P-EU-RC,BTW,EUR,1,Hempadur,Verkoop,93004,nl20,93004,M/V MAZARINE,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,2,PL7010150377,INTERNAL,POL,,IMO : 9376696 Flag ; Malta  Remontowa shipyard Gdańsk  c/o  Speed Cargo Service 206 Slowackiego str. 80-298 Gdansk Poland,,,,1,FG
6062,Goods,P-EU-RC,BTW,EUR,1,Hempadur,Verkoop,93004,nl20,93004,M/V MAZARINE,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,POL,,IMO 9376696 FLAG MALTA  Remontowa shipyard,Gdańsk,,,1,FG
